m_Dropped,Gamma,Oracle_Gamma,Theoretical,Recovery,Oracle_Recovery,DGP,Iteration
1,3.2464004894754472,2.717551763794199,2.718281828459045,1.1942839978869244,0.9997314242190773,uniform,1
2,7.700173626957886,6.612570682412476,6.6858944422792685,1.1517043371586408,0.9890330664805117,uniform,1
3,13.630020544872272,14.09384562571437,14.879731724872837,0.9160125193714643,0.9471841217510134,uniform,1
4,21.671482583054086,20.831984016763847,29.964100047397025,0.7232482386847685,0.6952314264006576,uniform,1
5,32.538683365318214,29.625597337518737,54.598150033144236,0.5959667744340302,0.542611742697038,uniform,1
6,44.06893069218302,39.76669632242645,90.01713130052181,0.4895615985035013,0.4417680917831685,uniform,1
7,57.89955568682783,51.30700469500452,134.28977968493552,0.4311538511915731,0.38206187258165625,uniform,1
8,67.25013306834063,61.38516241745035,181.27224187515122,0.37098969137623533,0.3386352029547279,uniform,1
9,72.27428089013574,71.14758367377881,221.40641620418717,0.32643263970942193,0.32134382053392946,uniform,1
10,70.54875863776181,66.88088647306853,244.69193226422038,0.28831665181990007,0.27332689661729426,uniform,1
1,4.811046940853573,2.718281828459045,2.718281828459045,1.7698852600507897,1.0,beta_u,1
2,14.441787848368053,6.685894442222208,6.6858944422792685,2.1600382675866396,0.9999999999914656,beta_u,1
3,31.437216976450095,14.879726311089113,14.879731724872837,2.112754286013094,0.999999636163889,beta_u,1
4,57.72620359802356,29.940403975706506,29.964100047397025,1.9265121764615862,0.9992091846024731,beta_u,1
5,90.38889548129048,54.441246496463954,54.598150033144236,1.6555303691868533,0.9971262114817987,beta_u,1
6,123.44237111675935,88.10250858014727,90.01713130052181,1.3713208734085016,0.9787304628273192,beta_u,1
7,156.7197872949859,130.5612282778124,134.28977968493552,1.1670269149497052,0.9722350322126458,beta_u,1
8,193.60809536966332,170.51353784680538,181.27224187515122,1.0680515304875429,0.9406489161437317,beta_u,1
9,211.10084899637363,187.6129744021413,221.40641620418717,0.9534540715463753,0.8473691847715894,beta_u,1
10,201.68202860669638,184.06358419240553,244.69193226422038,0.8242283541613397,0.7522257987388491,beta_u,1
1,2.7933712835038165,2.420218524520531,2.718281828459045,1.0276238667597386,0.8903486383133857,beta_bell,1
2,5.370464634151525,4.328813132648058,6.6858944422792685,0.8032529799140377,0.6474546031229795,beta_bell,1
3,9.24181169975847,7.658154839579336,14.879731724872837,0.6211006939264861,0.5146702226343253,beta_bell,1
4,15.833539729144528,13.376636311586404,29.964100047397025,0.5284169958082884,0.4464220947876734,beta_bell,1
5,20.65305474575931,16.669094308261265,54.598150033144236,0.37827389267258527,0.3053051119523676,beta_bell,1
6,20.305274135121593,17.11490212500128,90.01713130052181,0.22557122007512684,0.1901293884589951,beta_bell,1
7,19.67681727390565,16.810427163220567,134.28977968493552,0.1465250544015374,0.12518024232864491,beta_bell,1
8,18.895966195818882,16.093705405298234,181.27224187515122,0.10424081481175271,0.08878196263707354,beta_bell,1
9,18.01639184144708,15.327213617072225,221.40641620418717,0.08137249204572221,0.06922660092622177,beta_bell,1
10,17.158536633757617,14.569803564295487,244.69193226422038,0.07012301744068,0.05954345707059476,beta_bell,1
1,3.3352793262211535,2.7179590852383066,2.718281828459045,1.2269806946809028,0.9998812694043129,uniform,2
2,7.789514879600441,6.619649578111416,6.6858944422792685,1.1650669849560085,0.9900918471358233,uniform,2
3,15.617473117067494,13.247147204198765,14.879731724872837,1.0495802885317786,0.8902813201971204,uniform,2
4,25.64738941287919,23.82594234490751,29.964100047397025,0.8559372506536258,0.7951496059357626,uniform,2
5,32.47664178455646,32.37080442410344,54.598150033144236,0.5948304432447118,0.5928919643697175,uniform,2
6,43.31325735835425,43.60972164993609,90.01713130052181,0.4811668260539555,0.4844602468428506,uniform,2
7,51.70082696259638,52.92618854443944,134.28977968493552,0.3849945028124588,0.39411925962357236,uniform,2
8,58.91473286541062,57.37367457163601,181.27224187515122,0.3250069191839495,0.3165055718301942,uniform,2
9,59.65448626530644,49.85972364986273,221.40641620418717,0.2694343158072321,0.22519547764090406,uniform,2
10,56.454025722821,46.23383707635341,244.69193226422038,0.23071469991034063,0.18894712485424214,uniform,2
1,4.227776247388304,2.718281828459045,2.718281828459045,1.5553119632871069,1.0,beta_u,2
2,11.971137047868417,6.685894426766129,6.6858944422792685,1.790506438774611,0.9999999976797211,beta_u,2
3,23.941496554715112,14.879714234434491,14.879731724872837,1.6090005517165813,0.999998824546123,beta_u,2
4,44.286867702034264,29.95303743881255,29.964100047397025,1.4779975915172348,0.999630804577245,beta_u,2
5,68.97420121573165,54.27865506821163,54.598150033144236,1.2633065621062312,0.9941482455955255,beta_u,2
6,103.15951161530617,89.4902036283302,90.01713130052181,1.1459986574212033,0.9941463623137194,beta_u,2
7,137.56551897065552,133.28772158294242,134.28977968493552,1.0243930647098043,0.9925380911016156,beta_u,2
8,168.3531379962245,179.91760972889668,181.27224187515122,0.9287309311934003,0.9925270844987534,beta_u,2
9,190.93465718033696,208.25420633569001,221.40641620418717,0.8623718339049926,0.9405969795547036,beta_u,2
10,198.52235182580412,224.89938779013843,244.69193226422038,0.8113154773384111,0.9191123945487921,beta_u,2
1,2.4615217887251086,2.5284305787507955,2.718281828459045,0.9055432600675222,0.9301576283516292,beta_bell,2
2,4.238479582034692,4.117691935032699,6.6858944422792685,0.6339435386882604,0.6158774971070211,beta_bell,2
3,5.900659141860133,6.023558323743361,14.879731724872837,0.396556823131202,0.4048163256649601,beta_bell,2
4,7.018949072683975,7.198105739847996,29.964100047397025,0.23424528224046262,0.24022432605891977,beta_bell,2
5,7.905883034043881,7.745591049144047,54.598150033144236,0.1448012987481179,0.1418654486359341,beta_bell,2
6,8.39556070470096,7.974137070697934,90.01713130052181,0.09326625480512611,0.088584661113853,beta_bell,2
7,9.598509818447894,9.526543143010388,134.28977968493552,0.07147610072015513,0.0709401948931715,beta_bell,2
8,10.990672612228254,10.130415115487216,181.27224187515122,0.06063075349284823,0.05588508759363389,beta_bell,2
9,11.86770449555332,10.967431210576569,221.40641620418717,0.053601447957174794,0.0495352907951055,beta_bell,2
10,12.70251762802409,11.693551800456499,244.69193226422038,0.05191228623879518,0.04778887351230569,beta_bell,2
1,3.1499347280060896,2.7179556788912898,2.718281828459045,1.1587962274653996,0.9998800162792758,uniform,3
2,7.968035210818976,6.56331685293535,6.6858944422792685,1.191768024399532,0.9816662392141909,uniform,3
3,15.812712063333128,13.605596116453492,14.879731724872837,1.0627014220223292,0.914371063136205,uniform,3
4,27.750700518154286,19.98180884712285,29.964100047397025,0.9261316199805234,0.6668583009506626,uniform,3
5,35.15370196084154,32.01615899112652,54.598150033144236,0.6438625107169603,0.5863964066857733,uniform,3
6,43.83702978311751,40.17012128191935,90.01713130052181,0.4869854121074773,0.4462497382616157,uniform,3
7,48.78595352340315,47.22905458931226,134.28977968493552,0.3632886556062755,0.3516950783605341,uniform,3
8,58.24986263584713,51.87481188023064,181.27224187515122,0.3213391197311165,0.2861707415521385,uniform,3
9,60.12026731871293,54.55229649367163,221.40641620418717,0.2715380536364779,0.24638986271907307,uniform,3
10,57.04972455618165,50.22583669419162,244.69193226422038,0.2331491848884453,0.2052615148747828,uniform,3
1,4.120511423610934,2.718281828459045,2.718281828459045,1.5158514398585348,1.0,beta_u,3
2,11.292385923529876,6.6858944388903145,6.6858944422792685,1.6889865703114844,0.9999999994931188,beta_u,3
3,24.84014794993216,14.879725892116875,14.879731724872837,1.6693948795064344,0.9999996080066449,beta_u,3
4,46.81062702914754,29.96192660322304,29.964100047397025,1.562223692855877,0.999927465060838,beta_u,3
5,75.93597819057564,54.46092807174229,54.598150033144236,1.390815955201378,0.9974866921073581,beta_u,3
6,106.26363667982855,89.07033858831753,90.01713130052181,1.1804823720172535,0.9894820830376896,beta_u,3
7,131.9304567369719,128.02873953100027,134.28977968493552,0.9824311056768508,0.9533766443833283,beta_u,3
8,152.58431180453252,160.52244076260524,181.27224187515122,0.8417411856671518,0.8855323854446666,beta_u,3
9,169.58573079718082,195.9893827635311,221.40641620418717,0.7659476798575888,0.8852019111441839,beta_u,3
10,174.56968373491415,191.1630907171178,244.69193226422038,0.7134263975095524,0.7812398592312324,beta_u,3
1,2.4988534025505404,2.4153213815967702,2.718281828459045,0.9192767932996501,0.8885470801112558,beta_bell,3
2,4.829073972670829,4.326506454279869,6.6858944422792685,0.7222779262163409,0.6471095964244588,beta_bell,3
3,6.671844824833207,6.2674738381393205,14.879731724872837,0.44838475237296155,0.42120879287512036,beta_bell,3
4,8.209972207393964,7.697269897233782,29.964100047397025,0.27399361884413287,0.25688306623787427,beta_bell,3
5,9.375338921942731,9.03378311293261,54.598150033144236,0.17171532215379748,0.16545950929561865,beta_bell,3
6,10.432442691165743,10.178874577152415,90.01713130052181,0.1158939697415715,0.1130770824407888,beta_bell,3
7,11.555540703544823,11.34119444037756,134.28977968493552,0.086049293778394,0.08445314652377676,beta_bell,3
8,12.77253760346801,12.608371947285463,181.27224187515122,0.07046052650612067,0.06955489608811319,beta_bell,3
9,12.9716338523251,13.167969034760748,221.40641620418717,0.05858743425196087,0.0594741979953141,beta_bell,3
10,13.130831256724226,13.563287597428412,244.69193226422038,0.0536627061432718,0.05543005636484435,beta_bell,3
1,3.1650604874197787,2.717889744798885,2.718281828459045,1.1643606833858011,0.9998557604822078,uniform,4
2,6.9321376680439695,6.506933745505986,6.6858944422792685,1.0368302592705538,0.9732330956884995,uniform,4
3,13.608384091453763,12.970532706388433,14.879731724872837,0.9145584304256037,0.8716913010405286,uniform,4
4,20.2097891625807,20.28277937011766,29.964100047397025,0.6744667495640778,0.6769026714646689,uniform,4
5,28.93934365756681,27.405131736237404,54.598150033144236,0.5300425681089735,0.501942496579113,uniform,4
6,34.33628011685022,36.88394423282688,90.01713130052181,0.38144161695420725,0.4097436087991961,uniform,4
7,42.60907833765085,49.8612198709736,134.28977968493552,0.31729204141683975,0.37129571578682824,uniform,4
8,43.83109779377053,53.73663123048185,181.27224187515122,0.24179707461200045,0.29644158793761827,uniform,4
9,39.76053625445744,47.03841676443216,221.40641620418717,0.17958168031494248,0.21245281672890642,uniform,4
10,39.58572943692155,41.1949894148883,244.69193226422038,0.16177782843357724,0.16835450614859507,uniform,4
1,5.2065590954805705,2.718281828459045,2.718281828459045,1.9153860504714826,1.0,beta_u,4
2,15.305513767640537,6.685894440559405,6.6858944422792685,2.2892245607190262,0.9999999997427624,beta_u,4
3,33.50726210364835,14.879731402136375,14.879731724872837,2.251872730180873,0.9999999783103306,beta_u,4
4,55.907687113510995,29.96376188280262,29.964100047397025,1.8658223348966452,0.9999887143416999,beta_u,4
5,87.1772905789226,54.55134074457245,54.598150033144236,1.5967077735417947,0.9991426579738806,beta_u,4
6,123.97293000236907,88.70517050042555,90.01713130052181,1.3772148502320738,0.985425432013421,beta_u,4
7,170.5357321604295,132.33161545014704,134.28977968493552,1.2699084960935414,0.9854183673591346,beta_u,4
8,211.91985296755672,169.3215663752613,181.27224187515122,1.1690695209336772,0.9340733287332499,beta_u,4
9,243.81774184958152,198.609423353504,221.40641620418717,1.1012225663086748,0.8970355365417273,beta_u,4
10,266.7680133184574,219.42262150045414,244.69193226422038,1.0902198975256736,0.8967301025009675,beta_u,4
1,2.411944362138882,2.5048007290675556,2.718281828459045,0.8873047440802629,0.9214646924551937,beta_bell,4
2,3.9494919229025065,4.060207320260126,6.6858944422792685,0.5907200535394778,0.6072796026489423,beta_bell,4
3,6.497011459726066,6.546897499374829,14.879731724872837,0.4366349864269202,0.43998760330007086,beta_bell,4
4,8.698810884229907,8.565996219938448,29.964100047397025,0.2903077639732274,0.2858753043271384,beta_bell,4
5,9.268185002250375,9.142583715897487,54.598150033144236,0.16975272965519986,0.16745226185039988,beta_bell,4
6,9.330295066980081,9.255606571634086,90.01713130052181,0.103650215599861,0.10282050136361581,beta_bell,4
7,9.298471244762666,9.239417246920752,134.28977968493552,0.06924183855672643,0.06880208805612643,beta_bell,4
8,8.934946189053623,8.696311184635196,181.27224187515122,0.04929020624794526,0.04797376087302247,beta_bell,4
9,8.467735733069828,9.028039814951622,221.40641620418717,0.03824521383906348,0.04077587257735888,beta_bell,4
10,7.963070093913418,8.74767646797877,244.69193226422038,0.03254324742229273,0.03574975434225987,beta_bell,4
1,3.048465135335225,2.7177416125497302,2.718281828459045,1.1214676504177479,0.9998012656731693,uniform,5
2,7.237495609565314,6.560888933981941,6.6858944422792685,1.0825022249525675,0.9813030987287451,uniform,5
3,14.020522727297353,12.943012799982862,14.879731724872837,0.9422564187673332,0.8698418116199923,uniform,5
4,24.677525683999168,24.69073097181196,29.964100047397025,0.8235697266049844,0.8240104302400645,uniform,5
5,31.971915026685494,37.72896854333971,54.598150033144236,0.5855860502100656,0.6910301634842214,uniform,5
6,37.43242680904224,42.40770750347762,90.01713130052181,0.41583669983965876,0.47110707585092515,uniform,5
7,41.402311003154935,48.423639244705306,134.28977968493552,0.308305748213238,0.36059065223216996,uniform,5
8,43.664916976280814,50.9891714681474,181.27224187515122,0.24088032742682372,0.28128504916525215,uniform,5
9,47.008927075847296,56.33566250974443,221.40641620418717,0.21231962416344047,0.25444457968097056,uniform,5
10,43.94430362595434,51.46822856647728,244.69193226422038,0.17959032494174315,0.21033888649381974,uniform,5
1,4.785769367424479,2.718281828459045,2.718281828459045,1.7605861604635242,1.0,beta_u,5
2,13.01392924477618,6.685894442232309,6.6858944422792685,1.9464754278022434,0.9999999999929763,beta_u,5
3,28.419738259208636,14.87938726614301,14.879731724872837,1.9099630816395994,0.9999768504744443,beta_u,5
4,48.63772655837755,29.94860660059715,29.964100047397025,1.6231999786892548,0.9994829330173318,beta_u,5
5,74.80971918186778,54.516223370523186,54.598150033144236,1.370187801902701,0.9984994608320736,beta_u,5
6,101.63923542282828,88.21984144573399,90.01713130052181,1.1291099144617942,0.980033913224944,beta_u,5
7,128.43064631209324,129.24053077514702,134.28977968493552,0.9563694766155049,0.9624003485474858,beta_u,5
8,155.62789117562835,161.53114255367953,181.27224187515122,0.8585312873375005,0.8910969538564647,beta_u,5
9,164.4745298640925,171.07480792350867,221.40641620418717,0.742862527129338,0.7726732172284416,beta_u,5
10,171.6646587842728,164.88040952561317,244.69193226422038,0.7015542245132458,0.6738285484115346,beta_u,5
1,2.5177638786764964,2.445199239822019,2.718281828459045,0.9262335686891526,0.8995385298985599,beta_bell,5
2,4.800822396437287,4.557438117049381,6.6858944422792685,0.7180523769682269,0.6816497263596819,beta_bell,5
3,5.35975492591308,4.948629395183506,14.879731724872837,0.360205077955388,0.33257517586230523,beta_bell,5
4,7.608502947643311,7.046226566044978,29.964100047397025,0.2539206228656368,0.23515562139024035,beta_bell,5
5,9.798152444652704,8.996717335249242,54.598150033144236,0.17945942195302694,0.16478062589643996,beta_bell,5
6,10.965414789354535,10.028633463750078,90.01713130052181,0.12181475493533052,0.11140805443210057,beta_bell,5
7,11.101728038381289,10.119458142056697,134.28977968493552,0.08266994006861617,0.07535538568756686,beta_bell,5
8,11.232663807708313,10.372440004334852,181.27224187515122,0.06196571351197089,0.05722023348438934,beta_bell,5
9,10.79075797571037,9.95100954823174,221.40641620418717,0.048737331829439096,0.044944540085300154,beta_bell,5
